,PERGUNTA,A,B,C,D,GABARITO,VISITED
0,É um gás contribuinte para o Efeito Estufa:,Argônio,Dióxido de Carbono,Oxigênio,Nitrogênio,B,0
1,Qual o nome do gás que protege a atmosfera contra o Efeito Estufa?,Ozônio,Argônio,Oxigênio,Nitrogênio,A,0
2,Em qual camada da atmosfera está localizada a camada de ozônio?,Mesosfera,Estratosfera,Troposfera,Termosfera,B,0
3,Qual é a maior floresta tropical do mundo?,Tundra,Caatinga,Amazônia,Mata Atlântica,C,0
4,Atividade que não contribui para as mudanças climáticas globais:,Agropecuária,Garimpo,Caça indígena,Exploração de madeira,C,0
5,"São responsáveis por mais de 40% das emissões de gases estufa no mundo: 
",Brasil e China,EUA e Brasil,China e Índia,EUA e China,D,0
6,Quais desses alimentos emitem mais gases estufa durante sua produção?,Carne Bovina e Chocolate,"Carne bovina, leite e ovo","Feijão, café e ovo","Cerveja, queijo e frango",A,0
7,São animais ameaçados de extinção:,Jacaré da China e enguia elétrica,Atum azul e baleia azul,Tigre-bengala e baleia jubarte,Elefante asiático e rinoceronte de Java,B,0
8,É uma maneira eficiente de reduzir a emissão de gases estufa:,Utilizar carro elétrico,Aumentar o consumo de carne,Reciclar garrafas plásticas,Proteger os animais selvagens de queimadas,A,0
9,"Efeito estufa é um fenômeno atmosférico natural responsável pela manutenção da vida na Terra. Sem a presença desse fenômeno, a temperatura na Terra seria em torno de:",-15ºC,-16ºC,-17ºC,-18ºC,D,0
10,"Os recifes de corais são estruturas rígidas formadas por seres vivos marinhos que apresentam esqueleto calcário, como os corais, que são animais pertencentes ao filo dos:",Poríferos,Cnidários,Crustáceos,Moluscos,B,0
11,"As geleiras pesam muito, e algumas são descritas como mini-continentes. Este peso maciço desempenha um papel importante e desconhecido para muitos. A pressão que os icebergs gigantes exercem sobre a Terra ajuda a manter sob controle os movimentos tectônicos no subsolo. Sendo assim, o derretimento de geleiras:","Causarão Tsunamis e erupções vulcânicas com o passar do tempo
","Ajudarão a diluir o lixo das águas, diminuindo o nível de poluição dos oceanos
","Proporcionam o aumento do volume dos rios e lagos, aumentando o volume de água doce nas hidrelétricas, gerando mais eletricidade para as zonas urbanas
",Não influenciam de forma alguma no movimento tectônico da Terra,A,0
12,"O lixo plástico jogado nos oceanos é prejudicial à saúde humana pois se decompõe em microplástico, acumulando toxinas ao longo da cadeia alimentar. Nesse contexto, o microplástico é ingerido inicialmente na cadeia alimentar por:",Fitoplâncton,Zooplâncton,Algas,Peixes abissais,A,0
13,"Os animais marinhos são prejudicados pela presença de lixo plástico nos oceanos, pois:","O plástico não é prejudicial quando encontrado no oceano
",Podem morrer asfixiados e/ou contaminados ao entrar em contato com o plástico,Perdem espaço para se locomover em meio ao lixo,Entram em competição pelas substâncias emitidas durante a decomposição do plástico,B,0
14,"Sobre o uso das sacolas plásticas descartáveis e o impacto ambiental provocado por elas na natureza, pode-se afirmar, exceto:",O consumo anual de sacolas de plástico no Brasil é superior a 17 bilhões de unidades. Cerca de 80% delas viram sacos de lixo e acabam em aterros sanitários,"No mundo há mais de 60 países que já incentivam o uso de sacolas ecológicas, por meio de medidas governamentais","As sacolas plásticas tradicionais levam em média 200 anos para se decomporem, enquanto as oxibiodegradáveis podem levar 18 meses, dependendo da estrutura molecular dos materiais e das condições que favorecem a biodegradação","A desvantagem do uso das sacolas plásticas de polietileno é o custo, a impermeabilidade, a impossibilidade de reciclagem, sem falar na demorada degradação",D,0
15,"Principal fator de contribuição para o branqueamento de corais:
",Diminuição da temperatura dos oceanos,Derramamento de óleo de embarcações,Aumento da temperatura dos oceanos,Ataque de espécies marinhas predatórias,C,0
16,"Em Salvador e na região metropolitana, são descartados, por ano, cerca de dois milhões de toneladas de resíduos sólidos. Se não forem tomadas providências, em pouco tempo, os aterros sanitários não serão suficientes para manter tanto lixo. Entre as soluções corretas para reduzir o acúmulo desse material nos aterros sanitários, pode-se incluir:",a incineração de resíduos sólidos descartados nos aterros sanitários,o incentivo às cooperativas de catadores e aos artesões para transformar os resíduos sólidos em material reciclado,o reaproveitamento de resíduos com objetivo de requalificá-los e introduzi-los na economia,a ampliação de aterros sanitários para aproveitar a energia gerada na biodecomposição de resíduos sólidos,C,0
17,"Este é o nome que se dá a um fenômeno climático que acontece principalmente nas cidades com elevado grau de urbanização, como São Paulo, por exemplo. Nessas cidades, a temperatura média costuma ser mais elevada do que nas regiões rurais próximas. Este fenômeno é:","Chuva Ácida
",Desmatamento,Buraco na Camada de Ozônio,Ilha de Calor,D,0
18,"A agricultura moderna tem um impacto ambiental mais nocivo do que qualquer outra atividade humana e esses efeitos podem limitar a produção de alimentos no futuro. Modernamente, algumas práticas agrícolas podem causar efeitos nocivos ao meio ambiente, com repercussões negativas para a saúde humana. Nesse sentido, um efeito negativo é:",A redução da emissão de gases de efeito estufa pelo emprego de combustíveis fósseis,O assoreamento de canais fluviais,"O aumento do volume dos lençóis freáticos
",O decréscimo da erosão em face do emprego da mecanização da lavoura,B,0
19,Assinale a opção que apresenta a fonte alternativa de menor impacto ambiental.,Construção de usinas térmicas que aproveitam a energia do urânio e do plutônio,Construção de pequenas centrais hidrelétricas,Geração de energia a partir dos ventos,Utilização de bagaço da cana e de biogás de lixo,C,0
